맞춤형건강검진,실버프리미엄 건강검진,"중장년층 대상으로 질환의 조기발견과 건강관리가 필요한 분께 권해드리는 특화 검진입니다.
공통검사항목 : 기초 및 생리기능검사, 소변검사, 혈액질환검사, 간기능검사, 고지혈증, 당뇨검사, 신장기능검사, 통풍검사, 심혈관검사, 간염검사, 치매관련 유전자검사, 갑상선검사, 영양관련검사, 골대사, 노인성질환, 다발성골수종, 암표지자, 흉부촬영, 부인과, 전립선, 골밀도검사, 유방검사, 위장검사, 초음파, 폐질환 CT(흉부, 관상동맥석회수치측정), MRI(뇌MRI/뇌위축도검사, 뇌MRA), 예방접종 선택-대상포진, 폐렴(13가)
공통검사비용 : 남자158만원 대 ,여자160만원 대검사비용 : 남자158만원 대 ,여자160만원 대
추가검사비용 : 남자182만원 대(전립선 검사 포함) ,여자185만원 대(부인과검사, 유방검사 검사포함)  *예방접종(대상포진, 폐렴13가) 포함"
맞춤형건강검진,인지기능위험(치매)평가 건강검진,"치매관련 유전자검사(APO E)와 치매진단 특수문진이 포함되어 인지기능장애(치매) 예방과 조기발견을 위한 특화 검진입니다.
공통검사항목 : 심혈관검사(Homocysteine, 파라옥소나제), 영양관련검사(Vitamin B12, 엽산), 치매관련유전자검사(APO E), 경동맥초음파, 치매진단 특수문진, 고지혈증검사, 뇌 MRI, 뇌 MRA, 뇌위축도 MRI
검사비용 : 66만원 대"
맞춤형건강검진,남성갱년기 건강검진,"남성암검사(전립선) 및 간기능검사, 혈당 및 고지혈증, 남성호르몬검사로 남성갱년기 건강관리가 필요한 분께 권해드리는 특화검진입니다.
공통검사항목 : 기초검사, 요검사, 혈액질환검사, 간기능검사, 고지혈증, 항산화검사, 당뇨검사, 호르몬검사, 영양관련검사, 전립선검사, 골밀도검사, 상복부초음파, 간섬유화검사, 암표지자검사
검사비용 : 44만원 대"
맞춤형건강검진,여성갱년기 건강검진,"여성암검사(자궁경부암, 유방암 등) 및 중년기 여성에서 발생하기 쉬운 질환의 조기발견과 여성호르몬검사 강화로 여성갱년기의 건강관리가 필요한 분께 권해드리는 특화 검진입니다.
공통검사항목 : 기초검사, 요검사, 혈액질환검사, 간기능검사, 고지혈증, 당뇨검사, 철결핍검사, 갑상선검사, 유방검사, 항산화검사, 호르몬검사, 영양관련검사, 부인과검사, HPV검사, 골밀도검사
검사비용 : 62만원 대"
맞춤형건강검진,심혈관정밀검진,"심혈관 질환의 조기발견과 예방을 위한 프로그램으로 흡연, 고혈압, 당뇨, 심장 질환가족력 등 심혈관 질환의 위험인자가 있는 분께 권해드리는 특화검진입니다.
공통검사항목 : 기초 및 생리기능검사, 요검사, 혈액질환검사, 고지혈증검사, 간기능 8종, 당뇨검사,신장기능검사, 흉부촬영, 경동맥초음파, 심장초음파, 심장관상동맥조영CT,심혈관검사(Homocysteine, hs-Troponin T, Soluble ST2, 파라옥소나제, NT proBNP)
검사비용 : 66만원 대"
맞춤형건강검진,심뇌혈관 정밀검사,"심장초음파, 심장CT, 뇌MRI 등으로 심근경색 등 심뇌혈관질환의 조기발견과 예방을 위한 맞춤형 검진프로그램으로 흡연, 고혈압, 당뇨, 심장 질환의 가족력 등 심혈관 질환의 위험인자가 있는 분께 권해 드리는 검진입니다.
공통검사항목 : 기초 및 생리기능검사, 요검사, 혈액질환검사, 고지혈증검사, 간기능 8종, 당뇨검사, 신장기능검사, 흉부촬영, 경동맥초음파, 심장초음파, 심장관상동맥조영CT, 심혈관검사(Homocysteine, hs-Troponin T, Soluble ST2, 파라옥소나제, NT proBNP), 뇌위축도 MRI, 뇌 MRI, 뇌 MRA
검사비용 : 117만원 대"
맞춤형건강검진,폐암정밀검진,"흡연 및 환경요인에 의하여 발생하기 쉬운 폐질환 예방을 체크하기 위한 특화검진입니다.
공통검사항목 : 기초 및 생리기능검사, 요검사, 혈액질환검사, 고지혈증, 당뇨검사, 신장기능검사, 심혈관검사(hs-CRP, Homocysteine), 폐암표지자검사, 호흡기능, 동맥경화검사, 흉부촬영, 잠복결핵, 코티닌검사, 경동맥초음파, 흉부CT, 폐질환검사
검사비용 : 40만원 대"
맞춤형건강검진,예비부부 건강검진,"결혼 전 건강체크가 필요한 항목들로 구성되어 결혼을 앞둔 예비부부에게 권해드리는 검진프로그램입니다.
공통검사항목 : 기초 및 생리기능검사, 요검사, 혈액질환검사, 간기능검사, 고지혈증, 혈당검사, 신장기능, 통풍검사, 간염검사(A,B,C형), 성병검사, 흉부촬영, 상복부초음파, 혈액형검사
여자검사항목 : 풍진검사, 수두검사, 하복부초음파, 철결핍검사, 호르몬검사, 부인과검사
검사비용 : 남자23만원 대, 여자44만원 대"
맞춤형건강검진,청소년 건강검진,"청소년기 발생할 수 있는 질환의 체크를 위한 항목들로 구성된 특화검진입니다.
공통검사항목 : 기초 및 생리기능검사, 요검사, 혈액질환검사, 간기능(AST, ALT), 고지혈증, 구강진찰, 당뇨검사, 신장기능검사, 간염검사(B형, C형), 흉부촬영, 잠복결핵, 성장호르몬검사, 영양관련검사, 영양상담, 성장판검사, 척추측만증검사, 알레르기검사
여자검사항목 : 철결핍검사
검사비용 : 남자25만원 대, 여자26만원 대"
맞춤형건강검진,소화기정밀 건강검진,"한국인에게 가장 많이발생하고 있는 위장, 대장 등 소화기 질환의 조기발견과 예방을 위해 권해드리는 검진프로그램입니다.
공통검사항목 : 기초 및 생리기능검사, 소변검사, 대변검사, 혈액질환검사, 간기능검사, 고지혈증, 암표지자검사, 내시경검사(위내시경, 대장내시경-예약필수), 흉부직접촬영, 상복부초음파, 간염검사(A형, B형, C형), 췌장검사, 간섬유화검사
검사비용 : 46만원 대"
맞춤형건강검진,암 정밀(11종) 건강검진,"우리나라 대표 11종 암의 검사를 통해 조기발견과 예방을 위한 프로그램의 특화검진입니다.
공통검사항목 : 기초 및 생리기능검사, 방광·신장암(요검사), 위/대장내시경(수면비 별도), 폐암검사(흉부CT외 3종), 간암검사, 혈액질환검사, 췌장암검사(복부조영CT외 2종), 갑상선암검사(갑상선초음파외 3종)
남자검사항목 : 전립선암검사(전립선초음파외 3종)
여자검사항목 : 자궁/난소암검사(질초음파외 5종), 유방암검사(유방초음파, 유방촬영)
검사비용 : 남자90만원 대, 여자106만원 대"
기업검진안내,검진소개,"전국 17개 건강검진센터
전국 17개 검진센터 어디서나 건강검진이 가능합니다.

전국 600여 협약진료기관
전국600여 종합병원과의 협약을 통해 보다 신속하고 편안하게 진료 연계 및 사후관리가 이루어집니다.

기업 및 단체의 특성에 맞는 건강검진 프로그램 제공
회사 지원예산과 특성에 맞는 건강검진 프로그램을 제공해드립니다.

믿을 수 있는 건강검진
세계보건기구 건강증진병원(WHO HPH), 대한진단검사의학회, 대한병리학회 등 각종 검사인증기관으로부터 공인된 건강검진 센터입니다."
기업검진안내,검진 절차안내,"1.건강검진 제안 및 협약
기업단체 건강검진 문의제안서 작성 및 제출제안서 검토 및 확정단체 건강검진 협의 및 계약체결계약서(협약서) 송부

2.건강검진 예약
회사별 계약사항에 따라 전화, 인터넷, 방문 예약
예약날짜 확정 및 등록

3.건강검진 실시
담당간호사제도 실시 (당일 스케쥴 안내 및 서류작성)
계측 및 진찰 (프로그램에 맞춰 신체계측 후 담당과장님 면담)
검진 진행 (임상병리, 장비검사 등 준비사항 체크 및 검사진행)
결과설명 (당일 결과에 대해 설명 및 타과진료의뢰 및 안내)

4.결과통보 및 상담
담당간호사제도 실시 (당일 스케쥴 안내 및 서류작성)
계측 및 진찰 (프로그램에 맞춰 신체계측 후 담당과장님 면담)
검진 진행 (임상병리, 장비검사 등 준비사항 체크 및 검사진행)
결과설명 (당일 결과에 대해 설명 및 타과진료의뢰 및 안내)

5.기업보관용 결과 통보
유소견자 외래진료 연계
재검 및 추적검사 대상자 관리

6.정산
회사별 계약 사항에 따라 비용 청구 (인원 및 금액 상호 확인 후 세금계산서 발행)
수검자 동의 하에 검진자 전체 결과 발송 (엑셀 양식 등)
단체 건강검진 비용 입금 확인
"
예방접종,인플루엔자,"인플루엔자는 인플루엔자 바이러스(Influenza virus)에 의한 감염병으로 매년 겨울철에 유행하여 고열과 함께 기침 등의 호흡기 증상을 일으키는 질환으로 인플루엔자 환자가 기침이나 재채기를 할 때 분비되는 호흡기 비말을 통해서 사람에서 사람으로 전파됩니다.

예방접종 권장시기를 나타내는 표입니다.
시기	9월~12월

인플루엔자 백신의 종류와 접종용량 및 방법을 나타내는 표입니다.
종류	불활성화 백신(주사용)
접종용량 및 방법	매년 0.5mL를 1회 삼각근 부위에 근육주사
*생후 6개월 이상-만 8세 소아는 1-2회 근육주사

아래는 우선 접종 권장대상 정보를 나타냅니다.
1) 인플루엔자 바이러스 감염 시 합병증 발생이 높은대상자(고위험군)	
65세 이상 노인
생후 6~59개월 소아
임신부
만성폐질환자, 만성심장질환자(단순 고혈압 제외)
만성질환으로 사회복지시설 등 집단시설에서 치료, 요양, 수용 중인 사람
만성 간 질환자, 만성 신장 질환자, 신경-근육질환, 혈액-종양 질환, 당뇨환자, 면역저하자(면역억제제 복용자), 60개월~18세의 아스피린 복용자
50~64세 성인
2) 고위험군에게 인플루엔자를 전파시킬 위험이 있는 대상자	
의료기관 종사자
6개월 미만의 영아를 돌보는 자
만성질환자, 임신부, 65세 이상 노인 등과 함께 거주하는자
3) 집단생활로 인한 인플루엔자 유행 방지를 위해 접종이 권장되는 대상자	
생후 60개월 ~ 18세 소아 청소년"
예방접종,A형간염,"A형간염은 A형간염 바이러스(Hepatitis A virus, HAV)에 의하여 발생하는 간염으로 환경 및 위생개선과 적절한 예방조치로 예방이 가능합니다. A형 간염은 분변-경구 경로로 전파되며, 대부분 사람에서 사람으로 직접적으로 전파되거나 변에 오염된 물이나 음식물을 섭취함으로써 간접적으로 전파되기도 합니다.

아래는 접종대상자 정보를 나타냅니다.
접종 대상	
12~23개월의 모든 소아
(1차 접종: 생후 12~23개월 / 2차 접종: 1차 접종 후 6~18개월)
A형 간염에 대한 면역력이 없는 *고위험군 소아청소년이나 성인
- 20~30대 성인 중 예방접종력이 없거나 A형간염을 앓은 적이 없는 경우
- A형간염 환자 발생이 높은 국가(지역)으로 여행하는 경우
- A형간염 환자와 접촉하는 사람
- A형간염 바이러스를 다루는 실험실 종사자
- 군인, 의료인, 외식업 종사자
- 혈액응고 질환자
- 만성 간질환자
- 불법 약물 중독자
- 동성애자"
예방접종,B형간염,"B형간염은 B형간염 바이러스(Hepatitis B virus, HBV)에 감염되어 간에 염증이 발생하는 질환으로 경과에 따라 급성과 만성으로 구별할 수 있습니다. 급성 B형간염 중 5~10%가 만성 B형간염으로 진행되며 만성 B형간염이 지속되면 간경화증이나 간세포암으로 진행할 수 있습니다.

접종 대상
모든 신생아 및 영유아, 과거 B형간염의 감염 증거와 백신 접종력이 없는 소아청소년 및 성인

접종 일정
0, 1, 6개월 일정으로 3회 접종

접종용량 및 방법
아래는 나이별 접종용량 및 방법을 나타냅니다.
10세 이하	0.5ml(HBsAg 10 μg) 근육주사
11세 이상	1.0ml(HBsAg 20 μg) 근육주사

금기사항
이전 접종에서 아나필락시스 반응을 보인 경우"
예방접종,사람유두종바이러스,"사람유두종바이러스는 생식기 감염을 일으키는 가장 흔한 원인 병원체 중 하나로 지속감염 시 HPV 관련 암(자궁경부암, 외음부암, 항문암, 두경부암 등)과 그 전암병변, 생식기 사마귀, 재발성 호흡기 유두종증 같은 질환을 유발할 수 있으며 주로 감염된 사람과의 성접촉을 통해 전파됩니다.

접종대상 및 시기
우리나라에서 사용되는 사람유두종바이러스 백신은 세가지 종류로 가다실(4가), 서바릭스(2가), 가다실(9가)가 있으며, 국가예방접종을 통해 지원되는 백신은 가다실(4가), 서바릭스(2가) 두가지 종류입니다.

아래는 백신의 종류와 나이별 접종대상자와 시기를 나타냅니다.
가다실(4가)	만 9~13세: 2회 접종(6개월 간격) 만 14~26세 이상: 3회 접종(0, 2, 6개월 간격) 
서바릭스(2가)	 만 9~14세: 2회 접종(6개월 간격) 만 15~25세: 3회 접종(0, 1, 6개월 간격)
가다실(9가)	만 9~14세: 2회 접종(6개월 간격)  만 15~45세: 3회 접종(0, 2, 6개월 간격)
※ 단, 2회 접종으로 종료되는 연령(백신별 상이)에 접종을 시작한 경우, 2차 접종이 지연되더라도 총 2회 접종으로 완료

※ 사람유두종바이러스 예방접종 시에는 동일한 백신으로 접종하도록 권장

접종 용량

1회 0.5ml 근육주사"
예방접종,폐렴구균,"폐렴구균은 급성 중이염, 폐렴 및 균혈증, 수막염 등 침습성 감염을 일으키는 주요 원인균 중의 하나이며, 폐렴구균에 의한 침습성 감염은 영아 및 어린 소아와 65세 이상의 고령자에서 발생 빈도가 높습니다.
폐렴구균의 병원소는 증상이 없는 보균자의 비인두이며, 호흡기 비말(미세 침방울)을 통해 사람에서 사람으로 전파되거나 상기도에 균을 가진 사람에서 자가접종에 의해 전파됩니다.

접종 대상
단백결합 백신, 다당백신 접종대상 정보를 나타내는 표입니다.

단백결합 백신(10가, 13가)	
19세 미만 소아청소년
- 생후 2개월 ~ 59개월 모든 소아
- 5세 미만에 접종을 받지 않은 5세 이상의 고위험군 중
* 60~71개월의 만성질환 및 면역저하 상태의 소아
* 면역저하, 무비증, 뇌척수액 누출, 인공와우 이식 상태에 있는 6~18세 소아청소년
19세 이상 성인
- 면역저하, 무비증, 뇌척수액 누출, 인공와우 이식 

다당백신(23가)	
- 2세 이상 고위험군인 소아청소년과 성인
- 65세 이상 노인

접종 일정
아래는 단백결합 백신, 다당백신 접종대상별로 접종일정을 나타냅니다.
단백결합 백신(10가, 13가)	
생후 2~59개월 소아: 2, 4, 6개월에 3회 기초접종, 12~15개월에 1회 추가 접종
※ 생후 7개월 이후 접종을 시작할 경우 시작연령 및 백신 종류에 따라 1~3회 접종
※ 10가와 13가 백신 간의 교차접종은 권고하지 않음

다당백신(23가)	
- 65세 이상 연령에서 1회 접종
- 비장적출술, 면역억제치료, 인공와우 이식술 등이 예정된 소아는 치료 시작 전 최소 2주까지는 접종 완료
- 기능적 또는 해부학적 무비증, 면역기능저하 상태의 소아청소년(2세 이상)
- 65세 이전에 첫 번째 다당 백신을 접종받은 사람이 65세 이상이 되었을 경우 첫 번째 다당 백신 접종으로부터 5년이 경과한 후 1회에 한하여 재접종

접종용량 및 방법
단백결합 백신, 다당백신 접종용량 및 방법을 나타내는 표입니다.
단백결합 백신	0.5mL 근육주사
다당 백신	0.5mL 근육주사
금기사항

백신에 대한 심각한 알레르기 반응
중증도 이상의 급성 질환을 앓고 있을 때"
예방접종,수막구균,"수막구균 감염증은 수막구균에 의한 급성 감염병으로 수막염과 패혈증을 일으키는 중증 질환입니다. 환자나 건강한 보균자의 코나 입의 점막에 있던 수막구균이 비말이나 직접 접촉을 통해 전파됩니다. 수막구균은 수막염과 패혈증, 기타 감염을 일으키며 수막구균에 의한 수막염은 두통, 발열, 오심 등이 급격히 진행되며 더 진행되면 의식이 혼탁해집니다. 빠르게 진행하는 세균 감염이므로 항생제 치료가 중요합니다.

접종 대상
보체 결핍
비장 절제 후 또는 기능저하
신입 훈련병
수막구균을 다루는 실험실 종사자
수막구균 유행지역 여행자 또는 체류자
소속 집단 또는 지역사회 내 유행 시
접종용량 및 방법

0.5mL 1회 삼각근 부위에 근육주사
HIV 감염인, 보체 결핍, 비장 절제술 또는 기능 저하 환자에서는 12주 (최소 8주) 간격으로 2회 접종
주의사항

중증도 또는 심한 급성기 질환이 있는 경우
임신부(안전성 자료가 없어 일반적으로 권장하지 않으나, 수막구균 발병 위험이 높을 경우 위험-이득을 고려하여 접종)"
예방접종,일본뇌염,"일본뇌염은 일본뇌염 바이러스(Japaness Encephalitis virus)에 의한 인수공통감염병으로 작은빨간집모기에 의해 감염되어 뇌염을 일으키는 질환입니다. 일단 일본뇌염에 걸리면 특별한 치료 방법이 없으므로 예방이 최선입니다. 감염자의 약 250명 중 1명에서 임상증상을 나타내며, 열을 동반하는 가벼운 증상이나 바이러스성 수막염으로 이행되기도 하고 드물게 뇌염으로까지 진행될 수 있습니다. 뇌염으로 진행된 경우 약 30%의 치명률을 보입니다.
접종대상 및 시기

불활성화 백신, 약독화 생백신 접종대상 및 시기를 나타내는 표입니다.
불활성화 백신	
- 기초접종: 생후 12~23개월에 7~30일 간격으로 2회 접종하고, 2차 접종 12개월 뒤 3차 접종
- 추가접종: 만 6세, 만 12세에 각각 1회 접종

약독화 생백신	
- 기초접종: 생후 12~23개월에 1회 접종하고, 1차 접종 12개월 뒤 2차 접종
※ 일본뇌염 불활성화 백신과 약독화 생백신의 교차접종은 권장하지 않음

접종용량 및 방법
아래는 불활성화 백신, 약독화 생백신 접종용량 및 방법을 나타냅니다.
- 불활성화 백신	
쥐 뇌조직 유래: 3세 미만은 0.5mL, 3세 이상은 1.0mL 피하주사
베로세포 유래: 3세 미만은 0.25mL, 3세 이상은 0.5mL 피하주사

- 약독화 생백신(약독화 및
재조합 키메라 바이러스 백신)	
0.5mL 피하주사"
예방접종,"TD,Tdap","파상풍균이 생산하는 독소에 의해 유발되는 급성질환으로 골격근의 경직과 근육수축이 발생하는 질병입니다. 파상풍균은 토양 등의 환경에 존재하며 오염된 상처를 통해 감염됩니다. 제대 감염에 의해 발생하는 신생아 파상풍은 생후 3~14일 후부터 젖을 잘 빨지 못하는 등의 증상발현 후 경련 증상이 발생합니다.

디프테리아균에 의해서 발생하는 급성, 독소 매개성 호흡기 감염병입니다.
환자나 보균자와의 직접 접촉으로 주로 호흡기계를 통하여 전파되고, 디프테리아균은 인체 모든 부위의 점막을 침범할 수 있으며 침범 부위의 막 형성이 특징입니다.
가장 흔한 발생 부위는 인두와 편도 부위입니다.

백일해균에 의한 호흡기 질환입니다. 여름과 가을에 증가하는 경향을 보이며 전염성이 매우 높아 가족 내 2차 발병률이 80%에 달합니다. 기침이나 재채기 등에 의한 호흡기 전파가 주된 경로입니다.

접종 대상
- 모든 성인, 모든 영유아
- 생후 12개월 미만 영아와 밀접한 접촉자(부모, 형제, 조부모, 영아 도우미, 의료인, 산후조리업자 및 종사자 등)
- 보육시설 종사자
- 가임기 여성 및 임신부
- 상처를 통한 감염예방이 필요한 성인

접종 시기
- 생후 2, 4, 6개월에 3회 기초접종
- 생후 15~18개월과 만 4~6세 때 각각 1회 추가 접종
- 만 11~12세 때 Tdap 백신으로 1회 접종, 이후 매 10년마다 Td백신 접종
- Tdap 접종력이 없는 가임 여성의 경우: 임신 전에 Tdap 접종, 임신 중인 경우 27~36주 사이 접종, 임신 중 접종하지 못한 경우 분만 후 신속하게 접종
"
예방접종,대상포진,"대상포진은 수두-대상포진바이러스(Varicella-zoster virus, VZV)에 감염 후 후근신경절에 잠복하고 있던 바이러스가 재활성화되어 발생하는 질환입니다. 발진과 수포가 등신경뿌리 신경절이 분포하는 편측에 국한적으로 발생하며, 해당부위 심한 증과 지각 이상이 동반될 수 있으며 대상포진의 합병증으로 가장 문제가 되는 것은 대상포진 후 신경통으로 고령일수록 발생 빈도가 높습니다.
접종대상 및 시기

만 50세 이상 성인에서 1회 접종
※ 대상포진을 앓은 경우에는 회복 후 최소 6~12개월이 경과한 후 접종하는 것을 권장

접종용량 및 방법
제품에 따라 0.65mL 또는 0.5mL 1회 상완외측면에 피하주사

아래는 불활성화 백신, 약독화 생백신 접종대상 및 시기를 나타냅니다.
- 약독화 생백신	
- 조스타박스: 0.65ml 상완외측면에 피하주사 1회
- 스카이조스터: 0.5ml 상완외측면에 피하주사 1회
- 유전자재조합 백신	
- 싱그릭스: 0.5ml 삼각근에 근육주사(0.2개월 일정으로 2회 접종)"
예방접종,MMR,"홍역은 전 세계적으로 유행하는 급성 발진성 바이러스 질환으로 전염성이 매우 높은 급성 유행성 감염병입니다. 이전에는 소아에서 생명을 위협하는 주요 질병이었지만 백신이 개발된 이후 그 발생이 현저히 감소하였습니다. 호흡기 분비물 등의 비말에 의하거나 오염된 물건을 통하여 호흡기로 감염됩니다.
귀 아래의 침샘이 부어오르고 열과 두통이 동반되는 전염성 바이러스 질환입니다.
비말(미세 침방울) 감염, 오염된 타액과의 직접 접촉을 통해 감염됩니다. 발병 초기발열, 두통, 근육통, 식욕부진 등의 증상이 나타나며 가장 흔한 증상 중 하나로 한쪽 또는 양쪽 볼이 붓는 증상이 1주 정도 지속되다가 대개 10일 후면 회복됩니다.
풍진은 발진, 림프절염을 동반하는 급성 바이러스성 질환입니다. 임신 초기의 임신부가 풍진에 감염될 경우 유산을 하거나 태아에게 선천성 기형을 유발할 수 있습니다.
비말 감염 또는 태아의 경우 태반을 통하여 모체로부터 감염됩니다. 임신초기에 풍진에 이환될 경우 태아의 모든 장기에 영향을 줄 수 있고 태아사망, 자궁 내 발육부전, 백내장, 난청, 소두증 등이 나타날 수 있습니다.
접종대상 및 시기
아래는 소아,성인의 접종시기를 나타냅니다.
- 소아	생후 12~15개월과 만 4~6세에 각각 1회 접종(총 2회)
- 성인	과거 백신 접종기록이 없으면서 해당 감염병에 걸린적이 없거나 항체가 확인되지 않았다면 적어도 1회 접종
※ 가임기 여성이 MMR 백신을 과거에 1회 또는 2회 접종을 받았더라도 풍진에 대한 항체검사 결과 양성이 아니라면,MMR 백신을 1회 더 접종하며 총 접종횟수는 3회를 넘지 않도록 함"
건강검진 FAQ,내시경검사,"의식하 진정 내시경(흔히 ""수면내시경""이라 합니다.)은 수면(""마취제""가 아닙니다.) 유도제를 검사 전에 투여하여 몽롱한 상태로 검사하는 방법으로 수검자가 고통을 덜 느끼므로 편안한 검사라고 할 수 있습니다. 또한 깊은 수면 상태에서는 위장관 관찰을 좀 더 자세히 할 수 있습니다.
일반내시경은 의식이 있는 상태에서 시행하는 방법으로 심리적으로 위축, 약간의 불편감이 발생합니다. 그러나 의식이 있는 상태이므로 체위변화, 호흡 변화 등 검사 시 필요한 협조를 본인이 직접 할 수 있어서 검사에 많은 도움이 됩니다."
건강검진 FAQ,내시경검사,"3일 전부터 식이조절이 조금 안되었다 해도 그 전날 점심에 저잔사식으로 미음이나 흰죽으로 반찬 없이 드시고, 그 이후로 고형분 음식을 안드셨다면 대장내시경 진행해도 되지만 그렇지 않다면 날짜를 변경하시기를 권유합니다."
건강검진 FAQ,내시경검사,대장내시경 시 가스를 주입하면서 주름 잡힌 대장을 펴면서 관찰해야만 용종을 발견하여 제거하거나 병변을 발견할 수 있으므로 공기가 들어가서 복통을 유발할 수 있으므로 복식호흡과 시계방향으로 마사지 따뜻한 물 등을 드시고 움직이면서 가스를 배출하는 게 반드시 필요합니다.
건강검진 FAQ,내시경검사,"정상인 경우에는 비행기를 타도 상관 없으나, 용종 제거 및 시술을 시행한 경우에는 개인차가 있긴 하지만 1~2주 정도는 출혈 위험성으로 인해 비행기를 타지 않으시는 게 좋습니다. 내시경 후 비행기를 타야 하는 경우가 있다면 반드시 내시경 전에 의료진에게 얘기를 해주셔야 합니다."
건강검진 FAQ,내시경검사,"위내시경 검사 시 위 벽의 주름을 펴 정확하게 관찰하기 위하여 공기를 주입합니다. 이렇게 주입된 공기의 일부가 십이지장을 따라 하부 장기로 이동하면 복부 팽만감, 불편감, 통증이 발생할 수 있습니다. 하부로 내려온 공기가 배출되면 자연스럽게 증상이 사라지므로 안심하셔도 됩니다."
건강검진 FAQ,내시경검사,"내시경 검사 중 의사의 판단 하에 궤양, 용종 또는 특이한 소견이 보이는 경우 정확한 진단을 위해 시행합니다. 위내시경의 경우 위암과 위염의 감별을 위해 조직검사를 시행하고 최종 결과는 1주일 정도 걸립니다."
건강검진 FAQ,내시경검사,"내시경 기구 소독에 사용되는 소독제는 고수준 소독제로 식품의약품안전처에 신고 및 허가받은 제품을 사용하고 있으며, ‘대한소화기내시경학회’의 내시경 세척 및 소독지침을 준수하여 철저하게 내시경 소독을 시행하고 있습니다."
